Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Clear,City Road,Evening,2.0,60.0,7.0,0.0,None,Dry,Car,65.0,50.0,Artificial Light,0.0
Clear,City Road,Morning,2.0,50.0,6.0,0.0,None,Dry,Car,20.0,3.0,Daylight,0.0
Snowy,Highway,Morning,0.0,100.0,3.0,0.0,None,Icy,Car,59.0,37.0,Daylight,0.0
Clear,City Road,Morning,1.0,50.0,5.0,0.0,None,Dry,Car,45.0,25.0,Daylight,0.0
Rainy,Rural Road,Evening,0.0,80.0,2.0,0.0,None,Wet,Truck,49.0,31.0,No Light,0.0
Snowy,Mountain Road,Afternoon,1.0,50.0,2.0,0.0,None,Icy,Motorcycle,31.0,13.0,Daylight,0.0
Clear,Rural Road,Evening,1.0,60.0,4.0,0.0,None,Dry,Car,45.0,25.0,Artificial Light,0.0
Snowy,City Road,Evening,1.0,60.0,4.0,1.0,None,Wet,Car,71.0,58.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,60.0,6.0,0.0,None,Wet,Car,29.0,11.0,Daylight,0.0
Foggy,City Road,Evening,2.0,50.0,5.0,1.0,Low,Dry,Motorcycle,66.0,48.0,Artificial Light,1.0
Clear,City Road,Night,2.0,60.0,4.0,0.0,None,Under Construction,Motorcycle,28.0,13.0,Artificial Light,0.0
Clear,City Road,Night,1.0,50.0,4.0,0.0,None,Dry,Car,43.0,21.0,Artificial Light,0.0
Clear,Highway,Morning,0.0,100.0,3.0,0.0,None,Under Construction,Car,75.0,58.0,Daylight,0.0
Stormy,Highway,Afternoon,0.0,100.0,2.0,0.0,None,Under Construction,Car,73.0,54.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,4.0,0.0,None,Under Construction,Car,59.0,42.0,Daylight,0.0
Rainy,City Road,Evening,2.0,30.0,6.0,0.0,Low,Wet,Motorcycle,28.0,12.0,Artificial Light,1.0
Rainy,Mountain Road,Afternoon,0.0,50.0,2.0,0.0,None,Wet,Truck,55.0,42.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,50.0,5.0,0.0,None,Dry,Truck,45.0,27.0,Daylight,0.0
Foggy,City Road,Night,2.0,50.0,5.0,1.0,None,Wet,Car,24.0,5.0,No Light,0.0
Snowy,Rural Road,Evening,1.0,80.0,5.0,0.0,None,Icy,Car,74.0,57.0,No Light,0.0
Clear,Highway,Afternoon,1.0,100.0,4.0,0.0,Low,Dry,Truck,20.0,4.0,Daylight,1.0
Clear,City Road,Afternoon,2.0,50.0,4.0,0.0,Moderate,Dry,Motorcycle,49.0,25.0,Daylight,1.0
Clear,Rural Road,Afternoon,1.0,80.0,2.0,0.0,None,Dry,Car,35.0,17.0,Daylight,0.0
Rainy,City Road,Morning,1.0,50.0,6.0,0.0,None,Dry,Car,52.0,35.0,Daylight,0.0
Clear,City Road,Evening,2.0,30.0,5.0,0.0,None,Dry,Car,21.0,2.0,Daylight,0.0
Snowy,City Road,Evening,2.0,30.0,5.0,0.0,Low,Icy,Car,29.0,16.0,Artificial Light,1.0
Clear,Rural Road,Afternoon,1.0,60.0,3.0,0.0,None,Under Construction,Car,50.0,33.0,Daylight,0.0
Clear,Rural Road,Afternoon,0.0,60.0,3.0,0.0,Low,Dry,Truck,40.0,20.0,Daylight,1.0
Rainy,Highway,Night,1.0,100.0,4.0,0.0,High,Wet,Truck,47.0,28.0,Artificial Light,1.0
Foggy,Rural Road,Morning,0.0,60.0,2.0,0.0,None,Wet,Car,26.0,5.0,Daylight,0.0
Stormy,City Road,Morning,1.0,60.0,3.0,0.0,None,Wet,Truck,36.0,13.0,Daylight,0.0
Foggy,Highway,Afternoon,1.0,80.0,5.0,0.0,Low,Wet,Car,35.0,18.0,Daylight,1.0
Rainy,Highway,Afternoon,2.0,120.0,8.0,0.0,Low,Wet,Car,49.0,35.0,Daylight,1.0
Rainy,Highway,Morning,1.0,120.0,5.0,0.0,None,Dry,Car,43.0,20.0,Daylight,0.0
Clear,City Road,Evening,2.0,60.0,7.0,0.0,None,Dry,Truck,66.0,44.0,Artificial Light,0.0
Rainy,City Road,Evening,2.0,30.0,5.0,0.0,None,Wet,Car,39.0,19.0,Artificial Light,0.0
Rainy,Rural Road,Night,1.0,60.0,5.0,0.0,None,Wet,Truck,34.0,21.0,No Light,0.0
Rainy,Rural Road,Morning,2.0,80.0,5.0,0.0,None,Wet,Car,31.0,15.0,Daylight,0.0
Clear,Highway,Evening,1.0,100.0,4.0,0.0,None,Dry,Motorcycle,70.0,47.0,Artificial Light,0.0
Rainy,Highway,Afternoon,1.0,120.0,4.0,0.0,None,Under Construction,Car,37.0,26.0,Daylight,0.0
Snowy,Rural Road,Evening,0.0,80.0,2.0,0.0,Low,Wet,Truck,72.0,58.0,Artificial Light,1.0
Clear,City Road,Morning,2.0,50.0,4.0,0.0,None,Wet,Truck,72.0,54.0,Daylight,0.0
Clear,Highway,Evening,0.0,100.0,2.0,0.0,None,Dry,Car,63.0,49.0,Daylight,0.0
Clear,Highway,Evening,1.0,120.0,4.0,0.0,Low,Dry,Car,54.0,49.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,60.0,5.0,0.0,None,Dry,Car,67.0,51.0,Daylight,0.0
Clear,Highway,Morning,2.0,120.0,5.0,0.0,None,Dry,Car,25.0,10.0,Daylight,0.0
Foggy,Rural Road,Afternoon,0.0,60.0,2.0,0.0,Low,Wet,Motorcycle,51.0,29.0,Daylight,1.0
Foggy,City Road,Morning,2.0,50.0,4.0,0.0,None,Under Construction,Motorcycle,34.0,11.0,Daylight,0.0
Stormy,City Road,Evening,0.0,50.0,4.0,0.0,None,Under Construction,Car,51.0,34.0,Artificial Light,0.0
Clear,Highway,Morning,1.0,80.0,4.0,0.0,None,Dry,Motorcycle,25.0,11.0,Daylight,0.0
Clear,City Road,Night,2.0,60.0,6.0,1.0,Low,Dry,Car,36.0,11.0,Artificial Light,1.0
Snowy,City Road,Afternoon,1.0,30.0,4.0,0.0,Low,Icy,Motorcycle,36.0,25.0,Daylight,1.0
Clear,Rural Road,Evening,2.0,80.0,5.0,0.0,None,Dry,Car,48.0,35.0,Artificial Light,0.0
Rainy,Rural Road,Morning,1.0,60.0,3.0,0.0,None,Wet,Car,34.0,16.0,Daylight,0.0
Clear,Mountain Road,Afternoon,1.0,60.0,3.0,0.0,None,Wet,Car,69.0,48.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,30.0,2.0,0.0,None,Wet,Car,29.0,15.0,Daylight,0.0
Snowy,City Road,Morning,2.0,30.0,5.0,0.0,None,Wet,Car,22.0,4.0,Daylight,0.0
Rainy,City Road,Morning,1.0,50.0,3.0,0.0,None,Wet,Car,52.0,36.0,Daylight,0.0
Clear,City Road,Evening,1.0,60.0,3.0,0.0,None,Dry,Car,41.0,32.0,Artificial Light,0.0
Rainy,Highway,Afternoon,0.0,120.0,2.0,0.0,None,Wet,Truck,20.0,4.0,Daylight,0.0
Foggy,Highway,Morning,2.0,100.0,6.0,0.0,None,Wet,Car,18.0,0.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,30.0,3.0,0.0,None,Wet,Car,41.0,27.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,60.0,2.0,1.0,None,Dry,Car,23.0,0.0,Daylight,0.0
Clear,City Road,Morning,2.0,50.0,7.0,0.0,None,Dry,Car,25.0,0.0,Daylight,0.0
Snowy,City Road,Morning,2.0,50.0,6.0,0.0,Low,Icy,Car,50.0,31.0,Daylight,1.0
Rainy,Highway,Night,1.0,100.0,3.0,0.0,Moderate,Wet,Car,39.0,22.0,Artificial Light,1.0
Clear,Highway,Morning,1.0,80.0,4.0,0.0,None,Dry,Car,32.0,6.0,Daylight,0.0
Snowy,Highway,Evening,2.0,80.0,6.0,0.0,Moderate,Icy,Bus,61.0,44.0,Artificial Light,1.0
Clear,City Road,Morning,2.0,30.0,5.0,0.0,None,Under Construction,Car,66.0,49.0,Daylight,0.0
Clear,Highway,Morning,1.0,80.0,4.0,0.0,None,Dry,Car,41.0,19.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,50.0,5.0,0.0,None,Dry,Motorcycle,20.0,4.0,Daylight,0.0
Clear,Highway,Morning,1.0,100.0,4.0,0.0,None,Dry,Car,54.0,36.0,Daylight,0.0
Rainy,Rural Road,Morning,2.0,60.0,4.0,0.0,None,Dry,Car,18.0,0.0,Daylight,0.0
Rainy,Mountain Road,Morning,2.0,50.0,5.0,0.0,Low,Wet,Truck,28.0,3.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,60.0,2.0,0.0,None,Dry,Car,38.0,20.0,Daylight,0.0
Foggy,City Road,Morning,2.0,50.0,5.0,0.0,None,Dry,Motorcycle,54.0,36.0,Daylight,0.0
Clear,City Road,Night,1.0,50.0,2.0,0.0,None,Dry,Truck,65.0,52.0,Artificial Light,0.0
Clear,Highway,Afternoon,0.0,80.0,3.0,0.0,None,Dry,Car,60.0,38.0,Daylight,0.0
