Driver_Age,Vision_Quality,Driving_Speed,Weather,Accident,Severe_Hospitalization
43.1,85.2,68.5,Clear,0,0
81.7,22.0,58.0,Snow,1,1
67.0,73.0,50.5,Clear,0,1
58.1,91.3,62.5,Snow,0,0
28.5,100.0,73.8,Clear,1,0
28.5,99.2,77.7,Clear,0,0
21.9,96.2,81.8,Snow,1,0
76.0,44.5,62.4,Snow,1,1
58.3,88.0,66.3,Rain,1,1
65.4,73.5,48.9,Clear,0,0
19.4,100.0,70.1,Clear,0,0
83.0,42.6,48.5,Clear,0,0
73.8,55.5,54.9,Clear,1,1
32.2,89.4,84.8,Clear,0,0
30.2,94.4,63.5,Clear,1,0
30.3,93.2,71.5,Rain,0,0
38.4,100.0,81.4,Rain,0,0
53.2,87.4,62.9,Clear,0,0
46.9,82.6,73.0,Clear,0,0
37.5,100.0,70.8,Clear,0,0
59.0,84.0,66.2,Rain,0,0
27.3,100.0,74.0,Clear,0,0
37.6,87.3,78.8,Rain,0,0
42.5,93.1,54.7,Clear,0,0
48.6,90.3,64.1,Clear,0,0
70.6,52.6,61.9,Rain,1,1
31.4,100.0,80.0,Rain,0,0
52.5,96.5,81.1,Clear,0,1
57.7,80.9,60.2,Clear,0,0
21.1,89.9,93.5,Snow,1,0
58.7,86.5,57.1,Clear,0,0
29.4,96.1,88.7,Rain,0,0
22.4,100.0,86.4,Rain,0,0
81.6,43.0,45.4,Rain,1,1
82.7,42.8,57.2,Clear,1,1
72.2,75.6,57.8,Clear,1,1
38.4,96.4,78.1,Snow,1,1
24.5,89.0,75.1,Clear,1,0
63.8,92.6,58.6,Clear,0,0
47.5,100.0,81.9,Rain,1,1
26.2,100.0,75.7,Clear,0,0
51.2,77.7,75.0,Rain,1,1
20.3,100.0,76.8,Rain,0,0
78.9,31.1,72.3,Rain,1,1
35.3,97.5,66.3,Rain,0,0
62.4,77.9,56.1,Clear,0,1
38.9,100.0,86.9,Clear,0,0
52.8,79.9,61.6,Rain,1,1
54.6,71.8,81.4,Clear,1,0
30.4,91.3,84.0,Snow,0,0
83.0,22.3,52.5,Rain,1,1
69.9,75.4,41.1,Clear,0,0
80.9,26.4,54.6,Rain,1,1
78.0,50.3,57.0,Clear,1,1
58.1,67.4,75.6,Clear,0,0
79.8,43.2,71.2,Rain,1,1
23.9,100.0,70.8,Rain,0,0
31.1,97.6,82.8,Clear,1,0
21.0,91.9,86.4,Clear,0,0
39.8,91.0,82.0,Clear,0,0
44.0,89.7,74.6,Clear,0,0
36.2,96.5,53.3,Clear,0,0
73.5,49.8,56.2,Clear,1,1
41.9,95.2,58.9,Rain,0,0
36.8,70.8,70.4,Snow,1,0
54.4,80.4,75.3,Clear,0,0
27.4,92.3,79.3,Clear,0,0
71.7,70.1,70.0,Rain,1,1
23.0,98.2,81.4,Rain,0,0
84.1,24.1,40.6,Snow,1,1
69.7,61.9,34.1,Clear,0,0
31.3,96.3,76.2,Clear,0,0
18.4,99.2,77.7,Clear,0,0
72.6,58.2,48.4,Rain,1,1
65.4,76.5,44.0,Clear,0,0
66.8,82.3,53.1,Clear,0,0
69.7,65.8,57.4,Clear,0,1
23.0,97.3,84.7,Clear,0,0
42.0,100.0,72.3,Rain,0,0
25.8,85.5,93.0,Clear,0,0
75.8,40.4,46.5,Rain,1,1
59.8,89.6,72.1,Clear,0,0
40.2,85.7,71.6,Clear,0,0
22.3,95.8,85.2,Clear,0,0
38.8,85.4,67.3,Clear,0,0
39.8,89.2,82.0,Clear,0,0
66.9,89.5,63.4,Rain,0,1
60.7,89.3,56.1,Rain,0,0
77.4,58.2,56.1,Clear,1,1
49.6,76.0,64.9,Clear,0,0
26.0,87.6,81.7,Snow,1,0
65.8,56.6,49.1,Clear,0,1
69.0,65.2,59.3,Clear,0,1
55.6,92.6,68.9,Clear,0,0
69.7,74.2,59.7,Rain,1,1
51.1,85.0,80.2,Clear,1,1
53.0,85.8,73.7,Clear,1,0
46.6,83.0,68.5,Clear,0,0
19.7,100.0,81.5,Clear,1,0
25.2,100.0,80.1,Clear,0,0
20.1,86.2,83.2,Rain,1,0
60.6,85.3,44.7,Rain,1,1
39.1,99.0,68.6,Clear,0,0
52.1,83.0,51.5,Clear,0,0
78.8,53.7,68.5,Rain,1,1
34.7,100.0,72.7,Rain,1,0
45.5,88.2,67.1,Clear,0,0
